date,temp,spcond,sal,do_pct,do_mgl,depth,ph,turb,chlfluor
6/1/2017,25.24270833,0.3975,0.196875,69.921875,5.752083333,2.2075,5.821875,17.76041667,NA
6/2/2017,25.359375,0.3459375,0.16875,68.196875,5.596875,2.2515625,5.788541667,16.35416667,NA
6/3/2017,25.859375,0.32875,0.16875,78.46666667,6.377083333,2.2278125,5.820833333,17.38541667,NA
6/4/2017,26.1875,0.371875,0.188541667,78.30416667,6.328125,2.266354167,5.885416667,18.22916667,NA
6/5/2017,26.97291667,0.886354167,0.446875,82.74583333,6.583333333,2.300833333,6.184375,19.28125,NA
6/6/2017,26.76666667,0.6621875,0.338541667,83.30833333,6.666666667,2.295416667,6.042708333,16.70833333,NA
6/7/2017,24.878125,0.098541667,0.04375,76.653125,6.352083333,2.2603125,5.551041667,56.21875,NA
6/8/2017,24.478125,0.141875,0.041666667,64.66979167,5.402083333,2.243958333,5.524528302,88.39583333,NA
6/9/2017,24.584375,0.323125,0.154166667,59.35208333,4.942708333,2.20625,NA,57.80208333,NA
6/10/2017,25.33541667,0.277395833,0.155208333,60.77395833,4.991666667,2.242708333,NA,48.25,NA
6/11/2017,26.08020833,0.306979167,0.155208333,64.6375,5.233333333,2.27375,NA,39.73958333,NA
6/12/2017,26.60625,0.450208333,0.228125,66.71979167,5.35,2.291145833,NA,30.70833333,NA
6/13/2017,26.36666667,0.484895833,0.238541667,61.60104167,4.9625,2.284583333,NA,26.19791667,NA
6/14/2017,26.41875,0.660416667,0.332291667,66.98333333,5.3875,2.311770833,NA,22.88541667,NA
6/15/2017,25.89583333,0.174375,0.1,67.890625,5.522916667,2.282916667,NA,19.42708333,NA
6/16/2017,25.43125,0.145208333,0.1,78.32291667,6.41875,2.26125,NA,15.86458333,NA
6/17/2017,25.93125,0.151145833,0.1,88.490625,7.196875,2.200833333,NA,19.15625,NA
6/18/2017,26.2125,0.130416667,0.1,83.490625,6.752083333,2.200104167,NA,17.67708333,NA
6/19/2017,26.63958333,0.1371875,0.1,76.55625,6.142708333,2.251458333,NA,20.29166667,NA
6/20/2017,26.79583333,0.291770833,0.159375,74.82395833,5.985416667,2.329583333,NA,21.92708333,NA
6/21/2017,24.63229167,0.255625,0.119791667,76.71979167,6.383333333,2.538958333,NA,29.28125,NA
6/22/2017,24.22083333,0.063020833,0,76.45416667,6.414583333,2.6484375,NA,58.03125,NA
6/23/2017,25.41458333,0.081666667,0.015625,69.31354167,5.686458333,2.497708333,NA,45.83333333,NA
6/24/2017,26.58229167,0.118020833,0.061458333,71.0375,5.705208333,2.397708333,NA,40.94791667,NA
6/25/2017,27.28333333,0.134791667,0.091666667,62.65729167,4.972916667,2.269166667,NA,40.88541667,NA
6/26/2017,27.025,1.538333333,0.790625,61.89583333,4.908333333,2.250520833,NA,25.15625,NA
6/27/2017,26.765625,3.4728125,1.836458333,68.68854167,5.448958333,2.235208333,NA,30.82291667,NA
6/28/2017,26.06354167,3.942604167,2.091666667,71.51979167,5.733333333,2.29625,6.668253968,23,NA
6/29/2017,25.846875,2.998020833,1.560416667,67.13020833,5.420833333,2.353958333,6.551041667,13.17708333,NA
6/30/2017,25.38229167,1.495104167,0.758333333,65.34270833,5.342708333,2.357916667,6.315625,11.44791667,NA
7/1/2017,25.6,0.458229167,0.21875,83.00833333,6.773958333,2.346666667,6.261458333,14.92708333,NA
7/2/2017,26.28020833,0.20125,0.114583333,87.83125,7.090625,2.315520833,6.246875,17.29166667,NA
7/3/2017,27.20208333,0.1575,0.104166667,88.08333333,6.992708333,2.283020833,6.253125,20.125,NA
7/4/2017,28.02708333,0.2275,0.129166667,87.29166667,6.832291667,2.3040625,6.320833333,22.57291667,NA
7/5/2017,28.21458333,0.362604167,0.19375,78.93229167,6.153125,2.331666667,6.311458333,24.625,NA
7/6/2017,28.534375,0.497916667,0.253125,73.13958333,5.671875,2.323645833,6.310416667,20.125,NA
7/7/2017,28.65208333,0.418020833,0.203125,77.43854167,5.992708333,2.328541667,6.370833333,20.6875,NA
7/8/2017,28.215625,0.474583333,0.23125,76.82604167,5.988541667,2.314375,6.416666667,24.25,NA
7/9/2017,27.68333333,0.236354167,0.128125,80.33645833,6.319791667,2.263333333,6.269791667,38.15625,NA
7/10/2017,27.525,0.261770833,0.139583333,79.93541667,6.310416667,2.292083333,6.267708333,36.53125,NA
7/11/2017,27.65208333,0.221770833,0.113541667,83.13333333,6.546875,2.2853125,6.242708333,19.45833333,NA
7/12/2017,28.178125,0.221041667,0.109375,87.41145833,6.813541667,2.341354167,6.382291667,18.75,NA
7/13/2017,28.0375,0.195208333,0.1,80.20520833,6.271875,2.3253125,6.39375,14.66666667,NA
7/14/2017,27.825,0.1684375,0.1,75.21458333,5.910416667,2.326875,6.329166667,15.125,NA
7/15/2017,27.75416667,0.151041667,0.1,77.48125,6.0875,2.335833333,6.302083333,14.32291667,NA
7/16/2017,27.69270833,0.145416667,0.1,86.97083333,6.844791667,2.376458333,6.352083333,14.80208333,NA
7/17/2017,27.21145833,0.128958333,0.1,90.96458333,7.227083333,2.338645833,6.296875,20.53125,NA
7/18/2017,27.08125,0.142291667,0.1,88.00625,7.005208333,2.306979167,6.3125,20.23958333,NA
7/19/2017,27.47604167,0.156458333,0.1,87.75416667,6.9375,2.3,6.341666667,36.53125,NA
7/20/2017,28.07052632,0.148947368,0.1,85.30736842,6.668421053,2.246315789,6.368421053,18.89473684,NA
7/21/2017,29.10416667,0.2871875,0.148958333,86.69270833,6.655208333,2.2946875,6.538541667,21.41666667,NA
7/22/2017,29.146875,0.284375,0.138541667,85.821875,6.580208333,2.308020833,6.494791667,30.34375,NA
7/23/2017,29.02083333,0.254583333,0.123958333,85.99270833,6.6125,2.336875,6.491666667,22.67708333,NA
7/24/2017,28.37291667,0.2121875,0.110416667,82.98020833,6.457291667,2.271875,6.394791667,16.30208333,NA
7/25/2017,27.98333333,0.191041667,0.102083333,77.84166667,6.095833333,2.268958333,6.296875,18.27083333,NA
7/26/2017,27.85520833,0.175416667,0.1,71.03958333,5.576041667,2.201770833,6.148958333,27.58333333,NA
7/27/2017,27.78958333,0.162708333,0.1,70.87916667,5.571875,2.199166667,6.097916667,19.52083333,NA
7/28/2017,26.38645833,0.208645833,0.101041667,72.84583333,5.870833333,2.342682927,6.015625,15.09375,NA
7/29/2017,26.17916667,0.258229167,0.113541667,85.8,6.934375,2.298645833,6.089583333,11.58333333,NA
7/30/2017,26.24895833,0.227291667,0.105208333,91.04166667,7.348958333,2.21875,6.113541667,10.04166667,NA
7/31/2017,26.42604167,0.3240625,0.148958333,92.29895833,7.422916667,2.300625,6.245833333,12.9375,NA
8/1/2017,26.27916667,0.289479167,0.130208333,84.01979167,6.780208333,2.315520833,6.164583333,12.48958333,NA
8/2/2017,26.35208333,0.782395833,0.407291667,86.65,6.958333333,2.33,6.35625,13.54166667,NA
8/3/2017,27.43541667,5.014583333,2.698958333,83.1125,6.470833333,2.376354167,6.986458333,12.04166667,NA
8/4/2017,24.10625,2.698020833,1.444791667,81.7875,6.808333333,2.470208333,6.392708333,23.21875,NA
8/5/2017,22.51875,0.181458333,0.1,67.99375,5.892708333,2.387604167,5.53125,47.17708333,NA
8/6/2017,23.74375,0.219791667,0.104166667,61.52083333,5.207291667,2.411354167,5.622916667,33.65625,NA
8/7/2017,24.95104167,0.578541667,0.283333333,64.278125,5.305208333,2.450625,5.838541667,39.16666667,NA
8/8/2017,26.81041667,0.569895833,0.291666667,65.45625,5.229166667,2.405729167,6.013541667,31.23958333,NA
8/9/2017,29.05833333,5.182083333,2.815625,67.86770833,5.135416667,2.448854167,6.317708333,16.90625,NA
8/10/2017,29.65833333,6.041458333,3.270833333,77.64479167,5.792708333,2.4334375,6.530208333,11.76041667,NA
8/11/2017,28.62604167,3.885625,2.053125,58.94270833,4.522916667,2.406041667,6.108333333,8.59375,NA
8/12/2017,28.98541667,3.589791667,1.883333333,73.98020833,5.632291667,2.326145833,6.192708333,9.833333333,NA
8/13/2017,28.6875,2.46,1.272916667,73.965625,5.684375,2.297291667,6.033333333,12.39583333,NA
8/14/2017,28.82916667,1.9303125,0.998958333,70.81666667,5.430208333,2.270833333,5.945833333,13.52083333,NA
8/15/2017,27.79583333,0.610104167,0.308333333,70.996875,5.579166667,2.3146875,5.677083333,14.82291667,NA
8/16/2017,26.85416667,0.195833333,0.123958333,69.196875,5.526041667,2.287916667,5.563541667,17.08333333,NA
8/17/2017,27.23958333,0.182395833,0.105208333,67.81145833,5.373958333,2.294895833,5.566666667,20.84375,NA
8/18/2017,28.34895833,1.363229167,0.695833333,76.50833333,5.919791667,2.255,5.897916667,18.27083333,NA
8/19/2017,28.94479167,1.9678125,1.011458333,77.02916667,5.905208333,2.2328125,6.047916667,14.90625,NA
8/20/2017,29.15625,3.147604167,1.653125,74.721875,5.689583333,2.291145833,6.2,13.64583333,NA
8/21/2017,30.184375,5.127083333,2.748958333,82.29895833,6.114583333,2.320729167,6.48125,13.51041667,NA
8/22/2017,29.821875,6.601875,3.5875,72.95833333,5.430208333,2.360833333,6.58125,12.60416667,NA
8/23/2017,29.928125,8.864166667,4.922916667,61.378125,4.530208333,2.306875,6.63125,14.39583333,NA
8/24/2017,29.321875,8.819895833,4.894791667,83.43125,6.225,2.255729167,7.016666667,13.89583333,NA
8/25/2017,28.52395833,11.89385417,6.763541667,99.71041667,7.457291667,2.244479167,7.71875,13.84375,NA
8/26/2017,28.6375,15.94885417,9.288541667,76.33229167,5.621875,2.241666667,7.367708333,12.98958333,NA
8/27/2017,28.70833333,18.16989583,10.703125,65.51875,4.773958333,2.223541667,7.360416667,13.21875,NA
8/28/2017,28.05520833,18.53166667,10.94479167,61.94791667,4.575,2.244166667,7.509375,11.0625,NA
8/29/2017,26.66041667,19.02375,11.271875,54.11979167,4.097916667,2.227708333,7.41875,9.947916667,NA
8/30/2017,24.30729167,9.959166667,5.709375,58.55104167,4.763541667,2.493645833,6.664583333,19.08333333,NA
8/31/2017,22.771875,0.412291667,0.194791667,70.6875,6.092708333,2.512708333,5.6125,45.03125,NA
9/1/2017,22.89895833,0.218229167,0.1,66.659375,5.734375,2.331354167,5.56875,45.91666667,NA
9/2/2017,23.97291667,0.254375,0.1,59.90416667,5.04375,2.257291667,5.636458333,34.64583333,NA
9/3/2017,24.70104167,0.980625,0.486458333,57.47708333,4.767708333,2.278229167,5.696875,29.08333333,NA
9/4/2017,26.30520833,7.838020833,4.339583333,58.903125,4.639583333,2.308645833,6.513541667,22.8125,NA
9/5/2017,27.02708333,10.78041667,6.108333333,45.078125,3.471875,2.341041667,6.595833333,17.5,NA
9/6/2017,25.85,6.97875,3.836458333,65.10520833,5.19375,2.271458333,6.502083333,21.14583333,NA
9/7/2017,24.45833333,9.366666667,5.251041667,82.83541667,6.725,2.2871875,6.847916667,40.73958333,NA
9/8/2017,23.621875,12.75479167,7.3375,79.14375,6.455208333,2.292291667,7.216666667,34.09375,NA
9/9/2017,23.69791667,11.8753125,6.790625,89.61979167,7.3125,2.327708333,7.3,17.40625,NA
9/10/2017,23.44375,10.45583333,5.932291667,79.33229167,6.528125,2.148125,7.042708333,20.13541667,NA
9/11/2017,21.67708333,7.1571875,3.95625,78.171875,6.723958333,1.843958333,6.698958333,22.5,NA
9/12/2017,20.809375,7.927395833,4.408333333,68.46979167,5.967708333,2.082083333,6.6875,17.1875,NA
